ID	Int0	Int1
1	100.6715	75.4818
2	91.5306	113.2653
3	71.4262	86.0820
4	108.9441	72.2050
5	85.4433	101.2680
6	81.3933	93.6292
7	107.6828	59.4621
8	98.5941	89.2772
9	76.7111	92.4000
10	82.9184	83.6735
11	67.1905	84.2857
12	67.8852	115.8525
13	85.0619	122.3196
14	66.7556	80.1556
15	92.7355	93.9752
16	65.7079	105.6966
17	76.4845	129.9485
18	52.5556	108.4444
19	71.2871	122.6040
20	117.2595	77.9027
21	86.1387	60.5839
22	83.0365	80.2847
23	83.3034	52.3862
24	83.3827	95.6296
25	81.8764	59.7978
26	69.8852	83.5082
27	116.3623	92.6087
28	60.7200	64.7600
29	103.9060	88.7651
30	72.1461	105.8764
31	82.3196	72.0309
32	68.5946	89.8919
33	87.6082	57.1856
34	120.2897	59.6828
35	79.3814	103.6392
36	55.8000	147.8444
37	70.9855	56.2899
38	103.8222	41.0444
39	74.7640	122.5056
40	96.0118	85.4852
41	76.2482	57.0438
42	117.8029	53.9051
43	97.4928	0.0000
44	106.8116	87.9420
45	67.6190	61.8095
46	91.4088	82.7956
47	111.5528	83.4596
48	54.5714	142.7619
49	74.7654	14.9012
50	70.1134	115.3505
51	72.6393	91.0000
52	91.3258	93.2584
53	80.0103	115.6082
54	75.6491	94.5439
55	106.9796	88.9031
56	73.5507	79.8551
57	102.1543	88.7771
58	68.8919	90.3514
59	94.3061	62.6735
60	64.0889	99.5333
61	97.5752	81.4602
62	85.9266	87.2294
63	98.8658	70.3691
64	95.4198	44.5309
65	68.0000	98.9524
66	100.0476	77.1429
67	118.0612	38.5714
68	90.2124	62.6460
69	91.0708	59.9381
70	77.5510	102.0408
71	93.4494	51.2472
72	66.6404	108.2921
73	95.1959	70.5258
74	95.2593	74.9383
75	125.4783	94.8986
76	96.0486	84.1568
77	77.0000	75.6420
78	78.3457	60.8642
79	54.3684	109.4211
80	97.5841	51.0973
81	96.1134	136.1237
82	84.1622	91.0541
83	90.9586	75.3793
84	102.0395	78.2938
85	80.8980	81.6531
86	87.6514	98.7615
87	106.2712	96.6497
88	86.8660	147.4536
89	70.5714	129.2857
90	75.7681	103.4638
91	93.1752	80.4015
92	82.5459	123.2054
93	102.4382	73.5169
94	106.6522	106.1159
95	82.4074	71.7654
96	78.9752	144.9174
97	94.5217	112.4907
98	104.2593	103.7407
99	97.9266	115.6147
